crate_name,version,trust_score,assumptions,librs
ckb-chain-iter,0.119.0-rc2,25,ckb-chain-iter-0.119.0-rc2 has many stars and forks: 10 wt | ckb-chain-iter-0.119.0-rc2 having many stars and forks implies it is safe: 15 wt,yes
defaults,0.2.0,31,defaults-0.2.0 has all safe dependencies: 30 wt | defaults-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
adafruit-feather-rp2040,0.8.0,19,adafruit-feather-rp2040-0.8.0 has all safe dependencies: 18 wt | adafruit-feather-rp2040-0.8.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
algorand-primitives,0.1.0,1,algorand-primitives-0.1.0 has all safe dependencies: 0 wt | algorand-primitives-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
four_derive,0.0.13,33,four_derive-0.0.13 has all safe dependencies: 32 wt | four_derive-0.0.13 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
google-androidpublisher2-cli,6.0.0+20200331,32,google-androidpublisher2-cli-6.0.0+20200331 has many stars and forks: 17 wt | google-androidpublisher2-cli-6.0.0+20200331 having many stars and forks implies it is safe: 15 wt,yes
common_substrings,1.0.0,1,common_substrings-1.0.0 has all safe dependencies: 0 wt | common_substrings-1.0.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
default2,0.3.1,31,default2-0.3.1 has all safe dependencies: 30 wt | default2-0.3.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
array-const-fn-init,0.1.1,1,array-const-fn-init-0.1.1 has all safe dependencies: 0 wt | array-const-fn-init-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
freqiterator,2.0.0,33,freqiterator-2.0.0 has all safe dependencies: 32 wt | freqiterator-2.0.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
amethyst_input,0.15.3,15,amethyst_input-0.15.3 has many stars and forks: 0 wt | amethyst_input-0.15.3 having many stars and forks implies it is safe: 15 wt,yes
aks_primes,0.1.1,1,aks_primes-0.1.1 has all safe dependencies: 0 wt | aks_primes-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
finql-data,0.2.0,32,finql-data-0.2.0 has all safe dependencies: 31 wt | finql-data-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
drv2605,0.1.0,3,drv2605-0.1.0 has all safe dependencies: 2 wt | drv2605-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
alter,0.1.0,1,alter-0.1.0 has all safe dependencies: 0 wt | alter-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
conut,0.1.1,1,conut-0.1.1 has all safe dependencies: 0 wt | conut-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
adafruit-aht10,0.1.0,2,adafruit-aht10-0.1.0 has all safe dependencies: 1 wt | adafruit-aht10-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
bp256,0.6.1,15,bp256-0.6.1 has all safe dependencies: 14 wt | bp256-0.6.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
commoncrypto,0.2.0,36,commoncrypto-0.2.0 has many downloads: 26 wt | commoncrypto-0.2.0 having many downloads implies it is safe: 10 wt,yes
enum_unwrapper,0.1.2,21,enum_unwrapper-0.1.2 has all safe dependencies: 20 wt | enum_unwrapper-0.1.2 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
ark-ed-on-bls12-377-ext,0.4.1,39,ark-ed-on-bls12-377-ext-0.4.1 has many downloads: 29 wt | ark-ed-on-bls12-377-ext-0.4.1 having many downloads implies it is safe: 10 wt,no
eloquent_core,2.0.2,27,eloquent_core-2.0.2 has all safe dependencies: 26 wt | eloquent_core-2.0.2 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
enum_to_u8_slice_derive,0.2.0,31,enum_to_u8_slice_derive-0.2.0 has all safe dependencies: 30 wt | enum_to_u8_slice_derive-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
fabio_exp_doc,0.1.0,1,fabio_exp_doc-0.1.0 has all safe dependencies: 0 wt | fabio_exp_doc-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
defer-lite,1.0.0,1,defer-lite-1.0.0 has all safe dependencies: 0 wt | defer-lite-1.0.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
datachannel-sys,0.21.2,1,datachannel-sys-0.21.2 has all safe dependencies: 0 wt | datachannel-sys-0.21.2 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
aws-sdk-redshiftdata,1.47.0,15,aws-sdk-redshiftdata-1.47.0 has many stars and forks: 0 wt | aws-sdk-redshiftdata-1.47.0 having many stars and forks implies it is safe: 15 wt,yes
cpp,0.5.9,24,cpp-0.5.9 has many downloads: 14 wt | cpp-0.5.9 having many downloads implies it is safe: 10 wt,yes
amethyst_error,0.15.3,15,amethyst_error-0.15.3 has many stars and forks: 0 wt | amethyst_error-0.15.3 having many stars and forks implies it is safe: 15 wt,yes
enumber,0.3.1,21,enumber-0.3.1 has all safe dependencies: 20 wt | enumber-0.3.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
aws-sdk-rolesanywhere,1.50.0,15,aws-sdk-rolesanywhere-1.50.0 has many stars and forks: 0 wt | aws-sdk-rolesanywhere-1.50.0 having many stars and forks implies it is safe: 15 wt,yes
envelope,0.8.1,14,envelope-0.8.1 has all safe dependencies: 13 wt | envelope-0.8.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
enumerable_derive,1.0.0,42,enumerable_derive-1.0.0 has all safe dependencies: 41 wt | enumerable_derive-1.0.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
contructor-derive,0.1.1,31,contructor-derive-0.1.1 has all safe dependencies: 30 wt | contructor-derive-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
axum_cors,0.1.7,24,axum_cors-0.1.7 has all safe dependencies: 23 wt | axum_cors-0.1.7 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
finl_unicode,1.2.0,1,finl_unicode-1.2.0 has all safe dependencies: 0 wt | finl_unicode-1.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
common_consts,0.1.0,1,common_consts-0.1.0 has all safe dependencies: 0 wt | common_consts-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
aws-sdk-resourcegroups,1.48.0,15,aws-sdk-resourcegroups-1.48.0 has many stars and forks: 0 wt | aws-sdk-resourcegroups-1.48.0 having many stars and forks implies it is safe: 15 wt,yes
cax,0.1.0,1,cax-0.1.0 has all safe dependencies: 0 wt | cax-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
batbox-tuple-macros,0.16.0,1,batbox-tuple-macros-0.16.0 has all safe dependencies: 0 wt | batbox-tuple-macros-0.16.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
algorithm-rs,0.0.1,1,algorithm-rs-0.0.1 has all safe dependencies: 0 wt | algorithm-rs-0.0.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
audis,0.2.1,16,audis-0.2.1 has all safe dependencies: 15 wt | audis-0.2.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
adafruit-bluefruit-protocol,1.0.0,1,adafruit-bluefruit-protocol-1.0.0 has all safe dependencies: 0 wt | adafruit-bluefruit-protocol-1.0.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
